GEOID,GEOCODE,STATE,SDELM,SDSEC,SDUNI,AREALAND,AREAWATR,BASENAME,NAME,POP100
9500000US5511400,5511400,55,11400,,,92980403,6123,Paris Joint No. 1 School District,Paris Joint No. 1 School District,1668
9500000US5512390,5512390,55,12390,,,42881698,1697455,Randall Joint No. 1 School District,Randall Joint No. 1 School District,5683
9500000US5512480,5512480,55,12480,,,80655156,340856,Raymond No. 14 School District,Raymond No. 14 School District,3389
9500000US5512510,5512510,55,12510,,,53146842,153504,North Cape School District,North Cape School District,1918
9500000US5513350,5513350,55,13350,,,44379686,2570882,Salem School District,Salem School District,9482
9500000US5513560,5513560,55,13560,,,51136895,0,Sharon Joint No. 11 School District,Sharon Joint No. 11 School District,1975
9500000US5513860,5513860,55,13860,,,10239310,2920956,Silver Lake Joint No. 1 School District,Silver Lake Joint No. 1 School District,4000
9500000US5515090,5515090,55,15090,,,6755705,4064458,Twin Lakes No. 4 School District,Twin Lakes No. 4 School District,3708
9500000US5515180,5515180,55,15180,,,25277969,33319,Union Grove Joint No. 1 School District,Union Grove Joint No. 1 School District,5269
9500000US5515450,5515450,55,15450,,,69894569,146130,Walworth Joint No. 1 School District,Walworth Joint No. 1 School District,3850
9500000US5515660,5515660,55,15660,,,120608186,5364001,Waterford Joint No. 1 School District,Waterford Joint No. 1 School District,14230
9500000US5515700,5515700,55,15700,,,22214322,1064357,Washington-Caldwell School District,Washington-Caldwell School District,1934
9500000US5516560,5516560,55,16560,,,80354299,1282272,Wheatland Joint No. 1 School District,Wheatland Joint No. 1 School District,4168
9500000US5517160,5517160,55,17160,,,231954778,43853722,Woodruff Joint No. 1 School District,Woodruff Joint No. 1 School District,5447
9500000US5517220,5517220,55,17220,,,76907328,276224,Yorkville Joint No. 2 School District,Yorkville Joint No. 2 School District,2963
9500000US5599999,5599999,55,99999,,,1.36699E+11,28971410684,Wisconsin,Remainder of Wisconsin,5671253
9600000US5505490,5505490,55,,5490,,41645834,971594,Nicolet Union High School District,Nicolet Union High School District,26271
9600000US5506120,5506120,55,,6120,,463506695,5722236,Hartford Union High School District,Hartford Union High School District,33218
9600000US5506180,5506180,55,,6180,,160795269,14357900,Arrowhead Union High School District,Arrowhead Union High School District,34513
9600000US5507650,5507650,55,,7650,,229806742,2617434,Lake Geneva-Genoa City Union High School District,Lake Geneva-Genoa City Union High School District,25515
9600000US5509630,5509630,55,,9630,,1601304472,324127207,Lakeland Union High School District,Lakeland Union High School District,19559
9600000US5513290,5513290,55,,13290,,359623093,4320361,Westosha Central High School District,Westosha Central High School District,20801
9600000US5515150,5515150,55,,15150,,216412853,708186,Union Grove Union High School District,Union Grove Union High School District,13616
9600000US5515480,5515480,55,,15480,,190212178,1146937,Big Foot Union High School District,Big Foot Union High School District,11082
9600000US5515600,5515600,55,,15600,,217027418,6614740,Waterford Union High School District,Waterford Union High School District,18921
9600000US5516770,5516770,55,,16770,,113232869,11724371,Wilmot Union High School District,Wilmot Union High School District,18969
9600000US5599999,5599999,55,,99999,,1.36699E+11,28971410684,Wisconsin,Remainder of Wisconsin,5671253
9700000US5500016,5500016,55,,,16,461495559,325617,Blair-Taylor School District,Blair-Taylor School District,4345
9700000US5500017,5500017,55,,,17,544263766,21463871,River Ridge School District,River Ridge School District,3479
9700000US5500030,5500030,55,,,30,107516703,81812,Abbotsford School District,Abbotsford School District,3683
9700000US5500056,5500056,55,,,56,139757061,2612136,Gresham School District,Gresham School District,1705
9700000US5500058,5500058,55,,,58,1823174818,85806914,Chequamegon School District,Chequamegon School District,6456
