GEOID,GEOCODE,STATE,COUNTY,COUSUB,CD116,SLDU18,SLDL18,VTD,AREALAND,AREAWATR,BASENAME,NAME,POP100
7100000US5504500223206300,5504500223206300,55,45,6300,,,,2232,386313,0,Belleville,Belleville village,582
7100000US5504500223300750,5504500223300750,55,45,750,,,,2233,1400541,63693,Albany,Albany village (part),443
7100000US5504500223400775,5504500223400770,55,45,775,,,,2234,46949744,0,Albany,Albany town (part),690
7100000US5504500223500750,5504500223500750,55,45,750,,,,2235,1889883,0,Albany,Albany village (part),653
7100000US5504500223600775,5504500223600770,55,45,775,,,,2236,41834173,264616,Albany,Albany town (part),499
7100000US5504500223753750,5504500223753750,55,45,53750,,,,2237,3876281,0,Monroe,Monroe city (part),1139
7100000US5504500223753775,5504500223753770,55,45,53775,,,,2237,21844,0,Monroe,Monroe town (part),0
7100000US5504500223809925,5504500223809920,55,45,9925,,,,2238,700113,0,Brodhead,Brodhead city (part),613
7100000US5504500223909925,5504500223909920,55,45,9925,,,,2239,8803,0,Brodhead,Brodhead city (part),0
7100000US5504500223919075,5504500223919070,55,45,19075,,,,2239,7521900,0,Decatur,Decatur town (part),458
7100000US5504500224009925,5504500224009920,55,45,9925,,,,2240,1136149,0,Brodhead,Brodhead city (part),590
7100000US5504500224156725,5504500224156720,55,45,56725,,,,2241,57633348,0,New Glarus,New Glarus town (part),959
7100000US5504500224256725,5504500224256720,55,45,56725,,,,2242,30687133,0,New Glarus,New Glarus town (part),434
7100000US5504500224283625,5504500224283620,55,45,83625,,,,2242,23334,0,Washington,Washington town (part),0
7100000US5504500224356700,5504500224356700,55,45,56700,,,,2243,1485819,0,New Glarus,New Glarus village (part),525
7100000US5504500224356725,5504500224356720,55,45,56725,,,,2243,42887,0,New Glarus,New Glarus town (part),0
7100000US5504500224453750,5504500224453750,55,45,53750,,,,2244,1244863,0,Monroe,Monroe city (part),1170
7100000US5504500224515000,5504500224515000,55,45,15000,,,,2245,49101853,0,Clarno,Clarno town (part),610
7100000US5504500224610075,5504500224610070,55,45,10075,,,,2246,1463330,0,Brooklyn,Brooklyn village,498
7100000US5504500224710100,5504500224710100,55,45,10100,,,,2247,56326627,0,Brooklyn,Brooklyn town (part),766
7100000US5504500224809925,5504500224809920,55,45,9925,,,,2248,501565,0,Brodhead,Brodhead city (part),508
7100000US5504500224909925,5504500224909920,55,45,9925,,,,2249,385138,0,Brodhead,Brodhead city (part),469
7100000US5504500225019075,5504500225019070,55,45,19075,,,,2250,57710203,0,Decatur,Decatur town (part),408
7100000US5504500225109925,5504500225109920,55,45,9925,,,,2251,974139,0,Brodhead,Brodhead city (part),524
7100000US5504500225209925,5504500225209920,55,45,9925,,,,2252,577688,0,Brodhead,Brodhead city (part),485
7100000US5504500225319075,5504500225319070,55,45,19075,,,,2253,23259422,491712,Decatur,Decatur town (part),819
7100000US5504500225483625,5504500225483620,55,45,83625,,,,2254,93132658,0,Washington,Washington town (part),842
7100000US5504500225554850,5504500225554850,55,45,54850,,,,2255,35187085,0,Mount Pleasant,Mount Pleasant town (part),169
7100000US5504500225654850,5504500225654850,55,45,54850,,,,2256,33308808,0,Mount Pleasant,Mount Pleasant town (part),274
7100000US5504500225754000,5504500225754000,55,45,54000,,,,2257,1598963,0,Monticello,Monticello village (part),562
7100000US5504500225853750,5504500225853750,55,45,53750,,,,2258,1352,0,Monroe,Monroe city (part),0
7100000US5504500225853775,5504500225853770,55,45,53775,,,,2258,38979801,0,Monroe,Monroe town (part),683
7100000US5504500225878875,5504500225878870,55,45,78875,,,,2258,1470,0,Sylvester,Sylvester town (part),0
7100000US5504500225954850,5504500225954850,55,45,54850,,,,2259,2219,0,Mount Pleasant,Mount Pleasant town (part),0
7100000US5504500225978875,5504500225978870,55,45,78875,,,,2259,38512003,0,Sylvester,Sylvester town (part),507
7100000US5504500226078875,5504500226078870,55,45,78875,,,,2260,52596314,0,Sylvester,Sylvester town (part),494
7100000US5504500226153750,5504500226153750,55,45,53750,,,,2261,1541305,0,Monroe,Monroe city (part),0
7100000US5504700226206925,5504700226206920,55,47,6925,,,,2262,1921874,0,Berlin,Berlin city (part),1027
7100000US5504700226306925,5504700226306920,55,47,6925,,,,2263,962070,14902,Berlin,Berlin city (part),896
7100000US5504700226406925,5504700226406920,55,47,6925,,,,2264,2858907,159413,Berlin,Berlin city (part),864
7100000US5504700226506925,5504700226506920,55,47,6925,,,,2265,3225638,1071938,Berlin,Berlin city (part),912
